Transaction_date,Brand Name,Sales Value
2018-01-01,Coca Cola,3480.3
2018-01-01,Thums Up,991.3
2018-01-01,Mirinda,4169.45
2018-01-01,Fanta,726.75
2018-01-01,Mountain Dew,484.25
2018-01-02,Coca Cola,9234.35
2018-01-02,Thums Up,1237.2
2018-01-02,Mirinda,3075.25
2018-01-02,Fanta,1572.25
2018-01-02,Sprite,41
2018-01-02,Mountain Dew,739.5
2018-01-03,Coca Cola,5282.15
2018-01-03,Thums Up,1097.2
2018-01-03,Mirinda,4500.3
2018-01-03,Fanta,1118.5
2018-01-03,Sprite,24
2018-01-03,Mountain Dew,1867
2018-01-04,Coca Cola,4646.75
2018-01-04,Thums Up,1236.15
2018-01-04,Mirinda,4232.3
2018-01-04,Fanta,1318.75
2018-01-04,Sprite,86.5
2018-01-04,Mountain Dew,703.15
2018-01-05,Coca Cola,4287.8
2018-01-05,Thums Up,1299.2
2018-01-05,Mirinda,2678.05
2018-01-05,Fanta,1157.25
2018-01-05,Sprite,17
2018-01-05,Mountain Dew,727.3
2018-01-06,Coca Cola,3398.75
2018-01-06,Thums Up,691.85
2018-01-06,Mirinda,1666.45
2018-01-06,Fanta,951.6
2018-01-06,Sprite,16
2018-01-06,Mountain Dew,746.35
2018-01-07,Coca Cola,845.75
2018-01-07,Thums Up,305.4
2018-01-07,Mirinda,718.1
2018-01-07,Fanta,291.75
2018-01-07,Mountain Dew,91
2018-01-08,Coca Cola,5248.85
2018-01-08,Thums Up,2059.25
2018-01-08,Mirinda,5359.2
2018-01-08,Fanta,2328.4
2018-01-08,Sprite,34
2018-01-08,Mountain Dew,1034.5
2018-01-09,Coca Cola,6859
2018-01-09,Thums Up,2473.4
2018-01-09,Mirinda,5836.25
2018-01-09,Fanta,2351.95
2018-01-09,Sprite,42
2018-01-09,Mountain Dew,826.8
2018-01-10,Coca Cola,5385.6
2018-01-10,Thums Up,1787.25
2018-01-10,Mirinda,5942.2
2018-01-10,Fanta,1242.6
2018-01-10,Sprite,38.5
2018-01-10,Mountain Dew,1222.2
2018-01-11,Coca Cola,8218
2018-01-11,Thums Up,1443.5
2018-01-11,Mirinda,8580.05
2018-01-11,Fanta,2348.5
2018-01-11,Sprite,218.25
2018-01-11,Mountain Dew,1368.9
2018-01-12,Coca Cola,9716.75
2018-01-12,Thums Up,3893.501
2018-01-12,Mirinda,6316.75
2018-01-12,Fanta,7436.1
2018-01-12,Sprite,17.75
2018-01-12,Mountain Dew,2610.65
2018-01-13,Coca Cola,4720.6
2018-01-13,Thums Up,1700.75
2018-01-13,Mirinda,5739.85
2018-01-13,Fanta,2171.2
2018-01-13,Sprite,16
2018-01-13,Mountain Dew,2187.25
2018-01-14,Coca Cola,2307.65
2018-01-14,Thums Up,1481.75
2018-01-14,Mirinda,2104
2018-01-14,Fanta,727.25
2018-01-14,Mountain Dew,738.5
2018-01-15,Coca Cola,6201.85
2018-01-15,Thums Up,1971.95
2018-01-15,Mirinda,5845.4
2018-01-15,Fanta,1645.65
2018-01-15,Mountain Dew,1346.45
2018-01-16,Coca Cola,5600.85
2018-01-16,Thums Up,3189.25
2018-01-16,Mirinda,3856.95
2018-01-16,Fanta,1733.1
2018-01-16,Sprite,20
2018-01-16,Mountain Dew,2030.25
2018-01-17,Coca Cola,8098.75
2018-01-17,Thums Up,2569.5
2018-01-17,Mirinda,11065.75
2018-01-17,Fanta,1765.3
2018-01-17,Sprite,66
2018-01-17,Mountain Dew,771.25
2018-01-18,Coca Cola,5776.2
2018-01-18,Thums Up,2067.5
